OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
exception,irq,interrupt request,is-a-exception,bool,"yes,no",arm
exception,fiq,fast interrupt request,is-a-exception,bool,"yes,no",arm
fetch,cache state machine,caching,is-a-subfunction,bool,"yes,no",arm
fetch,instruction prefetch,,is-a-property,bool,"yes,no",arm
fetch,address compared to cache tag sram,"cache hit , cache miss",is-a-property,bool,"yes,no",arm
fetch,cache tag sram,,is-a-memory,bool,"yes,no",arm
fetch,cache data sram,,is-a-memory,bool,"yes,no",arm
caching,write through policy,,is-a-property,bool,"yes,no",arm
caching,read-miss replacement policy,,is-a-property,bool,"yes,no",arm
caching,2 way cache,,is-a-property,bool,"yes,no",arm
caching,3 way cache,,is-a-property,bool,"yes,no",arm
caching,4 way cache,,is-a-property,bool,"yes,no",arm
caching,8 way cache,,is-a-property,bool,"yes,no",arm
caching,cache lines,,is-a-property,number,number,arm
caching,cache line words,,is-a-property,number,number,arm
caching,each cache way kB,,is-a-property,number,number,arm
decode,instruction decode,data path control signal preparation,is-a-property,bool,"yes,no",arm
decode,register instruction,,is-a-property,bool,"yes,no",arm
decode,decode state machine,decode fsm,is-a-property,bool,"yes,no",arm
decode,multi-cycle instructions,,is-a-property,bool,"yes,no",arm
decode,interrupt handling,exception handling,is-a-property,bool,"yes,no",arm
execute,barallel shifter,,is-a-subfunction,bool,"yes,no",arm
execute,multiply,multiplier,is-a-subfunction,bool,"yes,no",arm
execute,register bank,,is-a-subfunction,bool,"yes,no",arm
execute,alu,,is-a-subfunction,bool,"yes,no",arm
execute,next fetch address generation,,is-a-operation,bool,"yes,no",arm
multiply,clock cycles,,is-a-property,number ,default 32,arm
multiply,algorithm,,is-a-property,set,"booths multiplication, array multiplier",arm
register bank,supervisor register set,,is-a-property,bool,"yes,no",arm
register bank,user register set,,is-a-property,bool,"yes,no",arm
register bank,irq register set,,is-a-property,bool,"yes,no",arm
register bank,fiq register set,,is-a-property,bool,"yes,no",arm
alu,and,,is-a-operation,bool,"yes,no",arm
alu,or,,is-a-operation,bool,"yes,no",arm
alu,xor,,is-a-operation,bool,"yes,no",arm
alu,zero extend,,is-a-operation,bool,"yes,no",arm
alu,full adder,,is-a-operation,bool,"yes,no",arm
alu,zero detect,,is-a-operation,bool,"yes,no",arm
