OBJECT,FEATURE,SYNONYM,RELATION,TYPE,ATTRIBUTE,DICT
BLAKE-224,c9,constants,is-a-property,number,,crypto_blake
BLAKE-224,c10,constants,is-a-property,number,,crypto_blake
BLAKE-224,c11,constants,is-a-property,number,,crypto_blake
BLAKE-224,c12,constants,is-a-property,number,,crypto_blake
BLAKE-224,c13,constants,is-a-property,number,,crypto_blake
BLAKE-224,c14,constants,is-a-property,number,,crypto_blake
BLAKE-224,c15,constants,is-a-property,number,,crypto_blake
BLAKE-224,chain ,input,is-a-property,bool,,crypto_blake
BLAKE-224,message,input,is-a-property,bool,,crypto_blake
BLAKE-224,salt,input,is-a-property,bool,,crypto_blake
BLAKE-224,counter,input,is-a-property,bool,,crypto_blake
BLAKE-224,new chain,output,is-a-property,bool,,crypto_blake
BLAKE-224,initilization,,is-a-property,bool,,crypto_blake
BLAKE-224,round function,,is-a-property,bool,,crypto_blake
BLAKE-224,compression rounds,,is-a-property,number,,crypto_blake
BLAKE-224,finalization,,is-a-property,bool,,crypto_blake
BLAKE-384,word,,is-a-property,number,,crypto_blake
BLAKE-384,chain value,,is-a-property,number,,crypto_blake
BLAKE-384,message blocks,,is-a-property,number,,crypto_blake
BLAKE-384,salt value,,is-a-property,number,,crypto_blake
BLAKE-384,counter value,,is-a-property,number,,crypto_blake
BLAKE-384,IV0,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV1,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV2,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV3,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV4,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV5,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV6,initial values,is-a-property,number,,crypto_blake
BLAKE-384,IV7,initial values,is-a-property,number,,crypto_blake
BLAKE-384,c0,constants,is-a-property,number,,crypto_blake
BLAKE-384,c1,constants,is-a-property,number,,crypto_blake
BLAKE-384,c2,constants,is-a-property,number,,crypto_blake
BLAKE-384,c3,constants,is-a-property,number,,crypto_blake
BLAKE-384,c4,constants,is-a-property,number,,crypto_blake
BLAKE-384,c5,constants,is-a-property,number,,crypto_blake
BLAKE-384,c6,constants,is-a-property,number,,crypto_blake
BLAKE-384,c7,constants,is-a-property,number,,crypto_blake
BLAKE-384,c8,constants,is-a-property,number,,crypto_blake
BLAKE-384,c9,constants,is-a-property,number,,crypto_blake
BLAKE-384,c10,constants,is-a-property,number,,crypto_blake
BLAKE-384,c11,constants,is-a-property,number,,crypto_blake
BLAKE-384,c12,constants,is-a-property,number,,crypto_blake
BLAKE-384,c13,constants,is-a-property,number,,crypto_blake
BLAKE-384,c14,constants,is-a-property,number,,crypto_blake
BLAKE-384,c15,constants,is-a-property,number,,crypto_blake
BLAKE-384,chain ,input,is-a-property,bool,,crypto_blake
BLAKE-384,message,input,is-a-property,bool,,crypto_blake
BLAKE-384,salt,input,is-a-property,bool,,crypto_blake
BLAKE-384,counter,input,is-a-property,bool,,crypto_blake
BLAKE-384,new chain,output,is-a-property,bool,,crypto_blake
BLAKE-384,initilization,,is-a-property,bool,,crypto_blake
BLAKE-384,round function,,is-a-property,bool,,crypto_blake
BLAKE-384,compression rounds,,is-a-property,number,,crypto_blake
BLAKE-384,finalization,,is-a-property,bool,,crypto_blake
